mmsi,timestamp,latitude,longitude,speed,course,vessel_type,heading,nav_status,name,flag
419000038,2024-01-15T06:00:00,10.02585,79.82458,5.5,111.5,fishing,102.0,underway,ANANDA,IN
419000048,2024-01-15T06:00:00,9.02995,79.85792,6.5,136.8,fishing,139.5,underway,SAGARA,IN
419000049,2024-01-15T06:00:00,22.22631,85.05367,11.7,199.6,cargo,197.0,underway,CORAL TRADER,MY
4190000410,2024-01-15T06:00:00,4.77727,81.89039,9.9,329.4,tanker,332.9,underway,PETROMAR,LK
4190000411,2024-01-15T06:00:00,11.92216,100.26695,5.6,231.4,fishing,231.7,underway,NILUFAR,BD
4190000412,2024-01-15T06:00:00,16.9538,79.77088,15.6,90.7,passenger,87.3,underway,FERRY QUEEN,IN
4190000411,2024-01-15T06:15:05,11.93315,100.13285,6.0,235.7,fishing,233.5,underway,NILUFAR,BD
419000048,2024-01-15T06:15:10,9.04366,79.80268,6.0,133.7,fishing,134.3,underway,SAGARA,IN
4190000412,2024-01-15T06:15:11,16.83814,79.84461,15.3,89.3,passenger,85.4,underway,FERRY QUEEN,IN
419000049,2024-01-15T06:15:12,22.14026,85.04616,12.3,201.4,cargo,198.2,underway,CORAL TRADER,MY
419000038,2024-01-15T06:15:25,10.05707,79.79121,6.2,116.0,fishing,118.2,underway,ANANDA,IN
4190000410,2024-01-15T06:15:30,4.86283,81.95126,9.9,333.8,tanker,340.5,underway,PETROMAR,LK
419000042,2024-01-15T06:30:00,15.19135,79.78963,10.0,121.9,tanker,121.5,underway,OCEAN CARRIER I,IN
4190000411,2024-01-15T06:30:11,11.89844,100.11258,6.1,229.9,fishing,229.0,underway,NILUFAR,BD
419000048,2024-01-15T06:30:20,8.87132,79.79152,6.0,134.7,fishing,133.5,underway,SAGARA,IN
4190000412,2024-01-15T06:30:22,16.89224,80.04725,16.8,95.0,passenger,99.2,underway,FERRY QUEEN,IN
419000049,2024-01-15T06:30:25,22.07951,84.841,11.8,201.9,cargo,195.8,underway,CORAL TRADER,MY
419000038,2024-01-15T06:30:50,10.00442,79.90494,5.7,112.3,fishing,113.2,underway,ANANDA,IN
4190000410,2024-01-15T06:31:01,4.97303,81.98099,10.3,332.6,tanker,333.2,underway,PETROMAR,LK
4190000411,2024-01-15T06:45:17,11.92791,100.11603,6.2,229.6,fishing,229.7,underway,NILUFAR,BD
419000048,2024-01-15T06:45:30,8.8696,79.85619,6.5,137.3,fishing,138.1,underway,SAGARA,IN
4190000412,2024-01-15T06:45:33,16.98561,79.945,16.4,93.7,passenger,94.3,underway,FERRY QUEEN,IN
419000049,2024-01-15T06:45:37,22.0772,84.93517,12.1,202.0,cargo,199.0,underway,CORAL TRADER,MY
419000038,2024-01-15T06:46:15,9.99564,79.8693,5.9,116.1,fishing,118.0,underway,ANANDA,IN
4190000410,2024-01-15T06:46:31,5.01559,81.90522,9.5,329.0,tanker,327.7,underway,PETROMAR,LK
419000042,2024-01-15T06:46:38,15.08663,79.86112,9.9,120.1,tanker,120.4,underway,OCEAN CARRIER I,IN
419000041,2024-01-15T07:00:00,22.29205,88.08936,9.6,146.2,tanker,144.7,underway,GULF WAVE,MY
4190000411,2024-01-15T07:00:23,11.93005,100.10338,6.4,232.7,fishing,239.4,underway,NILUFAR,BD
419000048,2024-01-15T07:00:40,8.90398,79.85759,6.4,137.4,fishing,142.2,underway,SAGARA,IN
4190000412,2024-01-15T07:00:44,16.98055,80.08336,15.7,91.5,passenger,90.4,underway,FERRY QUEEN,IN
419000049,2024-01-15T07:00:50,21.91452,84.92495,11.9,206.8,cargo,211.7,underway,CORAL TRADER,MY
419000038,2024-01-15T07:01:40,10.02747,79.95381,6.0,112.7,fishing,113.9,underway,ANANDA,IN
4190000410,2024-01-15T07:02:02,4.96468,81.96724,9.5,334.6,tanker,337.0,underway,PETROMAR,LK
419000042,2024-01-15T07:03:17,15.16688,79.95217,10.3,120.7,tanker,118.5,underway,OCEAN CARRIER I,IN
4190000411,2024-01-15T07:15:29,11.86284,100.12585,6.6,232.6,fishing,234.0,underway,NILUFAR,BD
